Predicted Label,label,flare,timestamp,NOAA,HARP,TOTUSJH,SAVNCPP,ABSNJZH,TOTPOT,TOTUSJZ,TOTBSQ,USFLUX,Cdec,Chis1d,Chis,Edec,Mhis,Xmax1d,Mdec,AREA_ACR,MEANPOT,Mhis1d,SHRGT45,TOTFX,MEANSHR
Negative,Negative,C1.1,2017-09-03T04:58:42.50Z,12673,7115,-0.225530265052654,-0.351740093602862,-0.022233480278297,-0.169736945685012,-0.150922407020118,-0.077379764584077,-0.381295141401012,0,0,0,0,0,0,0,1.12885568146634,0.683963555526093,0,2.05305238743974,0.184300131059191,-0.645468356775977
Negative,Negative,M1.2,2017-09-03T05:58:42.50Z,12673,7115,-0.128906856894038,-0.32096513594082,-0.10473508550649,-0.071368594180265,-0.083767913215613,-0.057803886885191,-0.360866317151302,0,0,0,0,0,0,0,1.10115400450411,0.848548470445301,0,2.00633425781898,0.161618330658559,-0.75862036915922
Negative,Negative,M1.2,2017-09-03T08:46:42.40Z,12673,7115,-0.005284455976956,-0.225002595127872,0.201939752877474,0.163738294652702,0.033537662131499,0.022900609834593,-0.234215662045902,0,0,0,0,0,0,0,0.676099223911728,0.986962639175942,0,2.18392883491864,0.178950326307908,-0.684081089926551
Negative,Negative,M1.2,2017-09-03T08:58:42.40Z,12673,7115,0.047875918596075,-0.207060797041717,0.541191316735744,0.238786430085516,0.045532143172256,0.032280005713398,-0.224784815677456,0,0,0,0,0,0,0,0.614496427878169,0.989288927726037,0,2.16742559405085,0.182640319841485,-0.664023583303896
Negative,Negative,M1.2,2017-09-03T09:58:42.40Z,12673,7115,0.163884037170727,-0.161098306346021,0.711807425130929,0.379779938058313,0.1498830051481,0.094901700152007,-0.169088658731291,0,0,0,0,0,0,0,0.797038825035432,0.971260191462803,0,2.12473064255209,0.133648454023004,-0.805754751691219
Negative,Negative,M1.2,2017-09-03T10:58:42.40Z,12673,7115,0.384229561834985,-0.100868601782589,0.382940590772892,0.584600572027044,0.396904176020261,0.201315581466196,-0.110869721220343,0,0,0,0,0,0,0,0.974796964966516,1.11374536515611,0,2.17448668218334,0.146683459061227,-1.07286015253529
Negative,Negative,M1.2,2017-09-03T11:58:42.30Z,12673,7115,0.553703184683661,-0.014706751263185,0.703813102687903,0.720894108203413,0.665903998012987,0.303473443761414,-0.029303341413967,0,0,0,0,0,0,0,1.07407254596511,1.19807332509705,0,2.13753912800172,0.151806925919186,-1.30460408513106
Negative,Negative,M1.2,2017-09-03T12:58:42.30Z,12673,7115,0.720218246019766,0.061640376416161,0.671311231821765,0.847499245599683,1.21509512173357,0.428881389323277,0.040521988135554,0,0,0,0,0,0,0,1.24337547348491,1.26204626022465,0,2.14837707722832,0.137955732720191,-1.83647050292824
Negative,Negative,M1.2,2017-09-03T13:58:42.20Z,12673,7115,0.878063036930591,0.146361696083787,0.968062145673373,0.957664490384881,1.45054296609589,0.542326633659597,0.09079366409341,0,0,0,0,0,0,0,1.38257537192389,1.28356442931303,0,2.10921266979581,0.146532567132344,-1.98023732975586
Negative,Negative,M1.2,2017-09-03T14:58:42.20Z,12673,7115,1.05418270375678,0.219533150544582,1.45074262424055,1.06071690245687,1.95358678401453,0.672296251389917,0.150776996244259,0,0,0,0,0,0,0,1.64135702190805,1.31845875756445,0,2.01561219920237,0.159975666250953,-2.46782231896242
Negative,Negative,M1.2,2017-09-03T15:58:42.20Z,12673,7115,1.08074394508147,0.295915539494653,1.71266338949359,1.08651721722055,1.9943152348519,0.771632519534357,0.213160656502477,0,0,0,0,0,0,0,1.59764009872366,1.34521107589054,0,2.05469450095892,0.101354151880163,-2.27160248677199
Negative,Negative,M1.2,2017-09-03T16:58:42.10Z,12673,7115,1.11474097784507,0.335832737190785,2.01910318440791,1.1384057886697,2.26752660215388,0.880192340668884,0.26384835164616,0,0,0,0,0,0,0,1.69764034811307,1.34055849879035,0,2.06848825452006,0.101642218289848,-2.41451067093996
Negative,Negative,M1.2,2017-09-03T17:58:42.10Z,12673,7115,1.27958680022868,0.429530568920093,2.32612983945026,1.27592705582096,2.70604393054098,1.04333940125015,0.339356982225578,0,0,0,0,0,0,0,1.9347492530345,1.38185012055454,0,2.0844988613321,0.08504067675077,-2.72259386240485
Negative,Negative,M1.2,2017-09-03T18:58:42.10Z,12673,7115,1.55372689060921,0.519361894371751,3.50344012251749,1.49105611324272,3.36567300305772,1.24419809487903,0.397928577220186,0,0,0,0,0,0,0,2.21346364623486,1.31089831977664,0,2.04163969848142,0.097372662574882,-3.18443611068528
Negative,Negative,M1.2,2017-09-03T19:58:42.10Z,12673,7115,1.65024061162041,0.605568505116442,3.81538921659291,1.5550320862214,3.67138626935965,1.39863705701396,0.478832720053934,0,0,0,0,0,0,0,2.18985147217986,1.42139702590615,0,2.06684614100088,0.067472055122038,-3.1360061838514
